task_text,stage,rows,trajs,tasks,step_min,step_max,stages,exact_obs_groups,actions,valid_rate,reward_mean,episode_reward_mean,value_pred_mean,value_pred_std,value_target_mean,value_target_std,value_error_mae,clipped_rate,prompt_len_mean,response_len_mean
"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",other,8,8,1,0,0,other,1,search,1.0,0.0,8.75,8.1875,0.0,7.355025112628937,2.1177347241379816,0.8324748873710632,0.375,212.0,277.75
"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",product_detail,24,8,1,2,4,product_detail,2,click,0.9583333333333334,2.9166666666666665,9.166666666666666,9.3828125,0.4085168777445722,8.718078772226969,2.6099342568094768,0.8072611490885416,0.2916666666666667,1226.375,237.16666666666666
"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",search_results,9,8,1,1,1,search_results,8,click,0.8888888888888888,0.0,8.88888888888889,8.458333333333334,0.04419417382415908,7.7617783016628685,2.3324613063421755,0.8217739529079862,0.3333333333333333,995.5555555555555,230.44444444444446
"Find me hand wash women's sweaters with long sleeve, stretch fabric, polyester spandex for teen girls, daily wear with color: xnj-tshirt345-black, and size: large, and price lower than 50.00 dollars.",other,9,8,1,0,0,other,1,search,1.0,0.0,10.0,8.125,0.0,8.068997224171957,0.03537653303480231,0.05600277582804362,0.0,222.0,179.0
"Find me hand wash women's sweaters with long sleeve, stretch fabric, polyester spandex for teen girls, daily wear with color: xnj-tshirt345-black, and size: large, and price lower than 50.00 dollars.",product_detail,27,8,1,2,4,product_detail,1,click,0.9629629629629629,3.3333333333333335,10.0,9.291666666666666,0.38760854559127655,9.47791247897678,0.42150773115659895,0.18624581231011283,0.25925925925925924,2070.740740740741,251.55555555555554
"Find me hand wash women's sweaters with long sleeve, stretch fabric, polyester spandex for teen girls, daily wear with color: xnj-tshirt345-black, and size: large, and price lower than 50.00 dollars.",search_results,9,8,1,1,1,search_results,8,click,0.7777777777777778,0.0,10.0,8.402777777777779,0.04540519732854832,8.491334915161133,0.04759175074145466,0.08855713738335504,0.2222222222222222,1036.6666666666667,181.33333333333334
"Find me high power, non slip binoculars & scopes for bird watching with style: 10x50 hd binoculars, and price lower than 170.00 dollars.",other,10,8,1,0,1,other,1,malformed_action_tag;search,0.8,0.0,10.0,8.175,0.026352313834736518,8.356722688674926,0.2325134745690181,0.28982768058776853,0.7,225.2,408.9
"Find me high power, non slip binoculars & scopes for bird watching with style: 10x50 hd binoculars, and price lower than 170.00 dollars.",product_detail,16,8,1,2,4,product_detail,1,click,0.9375,5.0,10.0,9.34765625,0.27287889369645263,9.725195407867432,0.2848142154747971,0.37753915786743164,0.1875,1479.3125,171.0
"Find me high power, non slip binoculars & scopes for bird watching with style: 10x50 hd binoculars, and price lower than 170.00 dollars.",search_results,10,8,1,1,2,search_results,7,click,1.0,0.0,10.0,8.6375,0.04930066485916348,8.945787620544433,0.025778538334766312,0.3082876205444336,0.1,1187.7,119.4
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",other,12,8,1,0,1,other,1,click;search,0.8333333333333334,0.0,5.833333333333333,1.9010416666666667,0.0451054897804395,2.9494540790716806,1.341331302245132,1.425164173046748,0.6666666666666666,227.58333333333334,402.25
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",product_detail,68,8,1,2,14,product_detail,1,click,0.9705882352941176,0.5882352941176471,5.147058823529412,4.100183823529412,0.7533025241230032,4.093887511421652,3.2255371734550575,2.78634677213781,0.5882352941176471,1656.235294117647,381.9852941176471
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",search_results,10,8,1,1,14,search_results,8,click,0.9,0.0,5.0,1.67734375,0.15459409006262717,3.038931703567505,1.8889950306840633,1.9350552082061767,0.9,1214.0,498.6
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",other,10,8,1,0,12,other,1,search,1.0,0.0,4.0,1.565234375,0.21370079500356626,2.186908346414566,1.7362871793167838,1.3501476228237153,0.4,304.2,331.7
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",product_detail,71,8,1,2,14,product_detail,1,click,0.9436619718309859,0.4225352112676056,2.535211267605634,2.0667913732394365,0.4827445714978849,2.27662171948124,3.094538604037398,2.340190220886553,0.7464788732394366,1650.8169014084508,433.15492957746477
"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",search_results,10,8,1,1,14,search_results,8,click,0.9,0.0,3.0,1.393359375,0.4157870353657168,2.004995286464691,2.077998274693952,1.4168681740760802,0.8,1231.9,450.0
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: black, and size: 2x, and price lower than 50.00 dollars.",other,9,8,1,0,0,other,1,search,1.0,0.0,10.0,7.65625,0.0,8.066541141933865,0.02072453462559084,0.410291141933865,0.0,211.0,112.77777777777777
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: black, and size: 2x, and price lower than 50.00 dollars.",product_detail,24,8,1,2,4,product_detail,1,click,1.0,3.3333333333333335,10.0,9.354166666666666,0.46794919518614714,9.498477180798849,0.41647168530787626,0.1443105141321818,0.20833333333333334,1997.6666666666667,213.375
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: black, and size: 2x, and price lower than 50.00 dollars.",search_results,9,8,1,1,1,search_results,8,click,1.0,0.0,10.0,8.104166666666666,0.19200321449132055,8.534088134765625,0.004053386538946993,0.4299214680989583,0.0,1036.3333333333333,71.0
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: monaco blue, and size: medium, and price lower than 70.00 dollars.",other,9,8,1,0,1,other,1,search;search[men's,1.0,0.0,10.0,8.0625,0.0,8.047029283311632,0.1322315946311874,0.07330513000488281,0.1111111111111111,223.33333333333334,161.88888888888889
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: monaco blue, and size: medium, and price lower than 70.00 dollars.",product_detail,27,8,1,2,5,product_detail,1,click,0.9259259259259259,2.962962962962963,10.0,9.347222222222221,0.4128834658959549,9.444284686335811,0.4150470654484485,0.09706246411358868,0.2962962962962963,1954.851851851852,231.55555555555554
"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: monaco blue, and size: medium, and price lower than 70.00 dollars.",search_results,9,8,1,1,2,search_results,6,click,1.0,0.0,10.0,8.42361111111111,0.027559909490256176,8.527963320414225,0.031673234050152696,0.10435220930311415,0.0,1000.1111111111111,74.11111111111111
"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",other,9,8,1,0,0,other,1,search,1.0,0.0,10.0,6.875,0.0,7.644497023688422,0.01969005896504697,0.7694970236884223,0.0,223.0,133.33333333333334
"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",product_detail,32,8,1,2,5,product_detail,1,click,0.9375,2.5,10.0,9.109375,0.5965289382700125,9.24019393324852,0.5532851080880988,0.15131911635398865,0.28125,1282.84375,241.8125
"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",search_results,9,8,1,1,1,search_results,5,click,1.0,0.0,10.0,7.763888888888889,0.06463371690620241,8.072933302985298,0.02841429207310734,0.3090444140964084,0.1111111111111111,920.8888888888889,160.22222222222223
"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",other,9,8,1,0,0,other,1,search,1.0,0.0,10.0,7.96875,0.0,8.06710539923774,0.02863514972201605,0.09835539923773871,0.0,209.0,119.11111111111111
"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",product_detail,26,8,1,2,4,product_detail,1,click,0.9615384615384616,3.4615384615384617,10.0,9.382211538461538,0.45563380412513127,9.492454345409687,0.42736009212353,0.11024280694814828,0.2692307692307692,1975.6923076923076,220.1153846153846
"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",search_results,8,8,1,1,1,search_results,3,click,1.0,0.0,10.0,8.1953125,0.022097086912079584,8.53195321559906,0.026399386835006502,0.33664071559906006,0.0,994.125,72.375
"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",other,8,8,1,0,0,other,1,search,1.0,0.0,10.0,8.125,0.0,8.08811330795288,0.005135518370138222,0.03688669204711914,0.125,209.0,163.75
"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",product_detail,25,8,1,2,4,product_detail,1,click,1.0,3.2,10.0,9.3475,0.4311594107751795,9.49596336364746,0.4079916201959261,0.14846336364746093,0.28,2014.96,206.24
"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",search_results,8,8,1,1,1,search_results,6,click,1.0,0.0,10.0,8.3359375,0.032346823094172764,8.53356647491455,0.003812745480539889,0.19762897491455078,0.0,1025.375,73.625
"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",other,8,8,1,0,0,other,1,search,1.0,0.0,0.0,3.359375,0.0,1.5967739075422287,0.1370124736850393,1.7626010924577713,0.25,223.0,289.5
"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",product_detail,28,8,1,2,5,product_detail,1,click,0.9285714285714286,0.0,0.0,5.738839285714286,1.5311782930516071,0.4292108586856297,0.4177240588200276,5.309628427028656,0.5,2006.9642857142858,308.67857142857144
