task_text,step_idx,rows,trajs,tasks,step_min,step_max,stages,exact_obs_groups,actions,valid_rate,reward_mean,episode_reward_mean,value_pred_mean,value_pred_std,value_target_mean,value_target_std,value_error_mae,clipped_rate,prompt_len_mean,response_len_mean
"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",0,8,8,1,0,0,other,1,search,1.0,0.0,8.75,8.1875,0.0,7.355025112628937,2.1177347241379816,0.8324748873710632,0.375,212.0,277.75
"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",1,9,8,1,1,1,search_results,8,click,0.8888888888888888,0.0,8.88888888888889,8.458333333333334,0.04419417382415908,7.7617783016628685,2.3324613063421755,0.8217739529079862,0.3333333333333333,995.5555555555555,230.44444444444446
"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",2,9,8,1,2,2,product_detail,2,click,1.0,0.0,8.88888888888889,8.95138888888889,0.027559909490256083,8.097272660997179,2.7323290506998696,0.9517589145236545,0.5555555555555556,1234.7777777777778,349.6666666666667
"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",3,8,8,1,3,3,product_detail,2,click,0.875,0.0,8.75,9.3828125,0.02209708691207961,8.294804573059082,3.3920134343347126,1.2963671684265137,0.25,1391.0,252.25
"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",4,7,7,1,4,4,product_detail,2,click,1.0,10.0,10.0,9.9375,0.0,10.0,0.0,0.0625,0.0,1027.4285714285713,75.28571428571429
"Find me hand wash women's sweaters with long sleeve, stretch fabric, polyester spandex for teen girls, daily wear with color: xnj-tshirt345-black, and size: large, and price lower than 50.00 dollars.",0,9,8,1,0,0,other,1,search,1.0,0.0,10.0,8.125,0.0,8.068997224171957,0.03537653303480231,0.05600277582804362,0.0,222.0,179.0
"Find me hand wash women's sweaters with long sleeve, stretch fabric, polyester spandex for teen girls, daily wear with color: xnj-tshirt345-black, and size: large, and price lower than 50.00 dollars.",1,9,8,1,1,1,search_results,8,click,0.7777777777777778,0.0,10.0,8.402777777777779,0.04540519732854832,8.491334915161133,0.04759175074145466,0.08855713738335504,0.2222222222222222,1036.6666666666667,181.33333333333334
"Find me hand wash women's sweaters with long sleeve, stretch fabric, polyester spandex for teen girls, daily wear with color: xnj-tshirt345-black, and size: large, and price lower than 50.00 dollars.",2,9,8,1,2,2,product_detail,1,click,1.0,0.0,10.0,8.819444444444445,0.02083333333333334,8.97809886932373,0.024200038048591915,0.15865442487928602,0.2222222222222222,1802.7777777777778,267.22222222222223
"Find me hand wash women's sweaters with long sleeve, stretch fabric, polyester spandex for teen girls, daily wear with color: xnj-tshirt345-black, and size: large, and price lower than 50.00 dollars.",3,9,8,1,3,3,product_detail,1,click,1.0,0.0,10.0,9.305555555555555,0.020833333333333315,9.466749721103245,0.02849992116292317,0.1611941655476888,0.4444444444444444,2255.4444444444443,351.0
"Find me hand wash women's sweaters with long sleeve, stretch fabric, polyester spandex for teen girls, daily wear with color: xnj-tshirt345-black, and size: large, and price lower than 50.00 dollars.",4,9,8,1,4,4,product_detail,1,click,0.8888888888888888,10.0,10.0,9.75,0.0,9.988888846503365,0.033333460489908796,0.23888884650336373,0.1111111111111111,2154.0,136.44444444444446
"Find me high power, non slip binoculars & scopes for bird watching with style: 10x50 hd binoculars, and price lower than 170.00 dollars.",0,8,8,1,0,0,other,1,malformed_action_tag;search,0.75,0.0,10.0,8.1875,0.0,8.327376306056976,0.2541408391844128,0.27500754594802856,0.75,211.0,432.375
"Find me high power, non slip binoculars & scopes for bird watching with style: 10x50 hd binoculars, and price lower than 170.00 dollars.",1,10,8,1,1,1,other;search_results,6,click;search,1.0,0.0,10.0,8.54375,0.22447856245084952,8.84933385848999,0.1993529930248002,0.30558385848999026,0.2,1013.7,166.2
"Find me high power, non slip binoculars & scopes for bird watching with style: 10x50 hd binoculars, and price lower than 170.00 dollars.",2,8,8,1,2,2,product_detail;search_results,3,click,0.875,0.0,10.0,8.953125,0.2259651916936387,9.324133515357971,0.22954321450473456,0.3710085153579712,0.25,1356.125,212.375
"Find me high power, non slip binoculars & scopes for bird watching with style: 10x50 hd binoculars, and price lower than 170.00 dollars.",3,8,8,1,3,3,product_detail,1,click,1.0,7.5,10.0,9.4921875,0.22765668662326993,9.865351557731628,0.24932552021010265,0.3731640577316284,0.125,1512.625,132.0
"Find me high power, non slip binoculars & scopes for bird watching with style: 10x50 hd binoculars, and price lower than 170.00 dollars.",4,2,2,1,4,4,product_detail,1,click,1.0,10.0,10.0,9.59375,0.04419417382415922,10.0,0.0,0.40625,0.0,1511.5,71.5
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",0,11,8,1,0,0,other,1,click;search,0.8181818181818182,0.0,5.454545454545454,1.9140625,0.0,2.8487750508568506,1.3584137469441162,1.3457144715569236,0.6363636363636364,223.0,392.27272727272725
"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",1,8,8,1,1,1,other;search_results,8,click;search,0.875,0.0,5.0,1.6865234375,0.1774873798880677,3.165986180305481,1.6546253843667862,1.7724686861038208,0.875,1034.0,495.25
