step_idx,rows,trajs,tasks,step_min,step_max,stages,exact_obs_groups,actions,valid_rate,reward_mean,episode_reward_mean,value_pred_mean,value_pred_std,value_target_mean,value_target_std,value_error_mae,clipped_rate,prompt_len_mean,response_len_mean
0,139,128,16,0,0,other,1,click;malformed_action_tag;no_action_tag;search;search[men's,0.9568345323741008,0.0,6.83453237410072,5.562436769334532,3.142993656821886,5.513783643249985,3.3228223880669416,0.5894486752988624,0.30935251798561153,217.92805755395685,262.50359712230215
1,138,128,16,1,1,other;product_detail;search_results,96,click;search,0.9710144927536232,0.0,6.884057971014493,5.916125753651494,3.330638984903038,5.950834376197578,3.5655442252151555,0.6089826407909825,0.30434782608695654,1006.6521739130435,226.31159420289856
2,136,128,16,2,2,product_detail;search_results,18,click;no_action_tag,0.9632352941176471,0.0,6.764705882352941,6.651417451746323,3.2860340286318603,6.05734292110976,3.892324267074171,1.0750260104370468,0.5,1539.1911764705883,337.0147058823529
3,135,128,16,3,3,other;product_detail;search_results,14,click;search,0.9555555555555556,1.1851851851851851,6.7407407407407405,7.265427879050926,3.2787499457934,6.320341074963411,4.248738112777249,1.3625113308981613,0.48148148148148145,1846.9185185185186,324.5407407407407
4,118,113,15,4,4,other;product_detail;search_results,13,click;no_action_tag;search,0.923728813559322,4.237288135593221,6.271186440677966,6.803180241988877,3.8124678467748283,6.02176293626554,4.652485633979886,1.1744318048517077,0.23728813559322035,1717.822033898305,202.75423728813558
5,48,46,8,5,5,other;product_detail;search_results,11,click;search,0.9375,3.75,5.208333333333333,4.664532979329427,4.293428459586613,4.86745011426198,4.650588241527284,0.9302352706436068,0.5625,1395.5416666666667,334.6041666666667
6,27,27,4,6,6,other;product_detail;search_results,11,click;search,0.9629629629629629,0.7407407407407407,2.5925925925925926,1.4516782407407407,1.8083753045754185,2.176128826483532,3.4763680835442905,1.5655569177534845,0.8518518518518519,1478.8148148148148,464.77777777777777
7,27,25,4,7,7,other;product_detail;search_results,9,click;search,0.8518518518518519,0.37037037037037035,1.8518518518518519,1.3432798032407407,1.959985507120464,1.5321337339226846,2.9618941532589718,1.1224592031428107,0.8148148148148148,1551.5555555555557,478.25925925925924
8,23,23,4,8,8,other;product_detail;search_results,6,click;search,0.9565217391304348,0.0,1.7391304347826086,1.312293011209239,1.7903850347401946,1.4709491919240225,2.900774357377939,1.1993960030376911,0.782608695652174,1505.0,460.30434782608694
9,22,21,4,9,9,other;product_detail;search_results,9,click;no_action_tag;search,0.7727272727272727,0.45454545454545453,1.8181818181818181,1.4219249378551135,1.7165871477284624,1.6791950948536396,3.307383956798118,1.5669094144620679,0.6818181818181818,1521.1818181818182,399.40909090909093
10,20,20,4,10,10,other;product_detail;search_results,8,click;no_action_tag;search,0.8,0.0,1.5,1.372802734375,1.877542976429158,1.4228876322507857,3.190532741139475,1.407294237613678,0.8,1450.35,445.85
11,21,19,4,11,11,product_detail;search_results,10,click,1.0,1.4285714285714286,1.4285714285714286,0.9111153738839286,1.1992494015617334,1.5496324116275424,3.5425884834010772,1.5613719246217184,0.7619047619047619,1537.5714285714287,435.3333333333333
12,15,15,4,12,12,other;product_detail;search_results,8,click;malformed_action_tag;search,0.8666666666666667,0.0,0.0,0.624072265625,0.988207099497873,0.07874478821953138,0.17076849709143813,0.6119157197574775,0.6666666666666666,1447.7333333333333,407.0
13,14,13,4,13,13,other;product_detail;search_results,6,click;search,0.9285714285714286,0.0,0.0,0.683349609375,1.006607663909166,0.03943368047475815,0.08341468999284972,0.6786595806479454,0.8571428571428571,1518.4285714285713,460.7857142857143
14,13,11,4,14,14,product_detail;search_results,8,click,0.9230769230769231,0.0,0.0,0.5831204927884616,0.7867059020009148,-0.007692307233810425,0.02773500815812605,0.6439978961761181,0.7692307692307693,1508.923076923077,444.9230769230769
