traj_uid,task_text,rows,episode_reward,episode_length,valid_rate
046a0164-2df6-4a39-80da-6e867317894c,"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",16,0.0,15.0,0.875
04d1cee2-3395-44ce-a5a9-4e256470358a,"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",6,10.0,5.0,1.0
0713face-85fa-42a9-84c4-00977921714d,"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",6,10.0,6.0,1.0
074d65ca-f38f-4d90-b724-ab5d718b2397,"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",5,0.0,5.0,1.0
0956e284-20da-481b-ab0a-2085237201b7,"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: black, and size: 2x, and price lower than 50.00 dollars.",5,10.0,5.0,1.0
09963707-5aef-451d-8bcc-89ce4f5e62b0,"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",12,0.0,12.0,0.75
0a16ba85-d174-4a22-95bd-795fe42f96fb,"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",7,10.0,6.0,1.0
0d5cb143-319a-448d-a136-23d891a155af,"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",14,0.0,14.0,0.7142857142857143
10b54706-f6b3-482c-a3eb-1a8fad4397f6,"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",5,10.0,5.0,1.0
122d542c-298f-47d1-96f9-fe1e8701a34e,"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",14,0.0,13.0,1.0
1492ab2d-3918-425d-8ad4-eceb5f9b71da,"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",16,0.0,14.0,0.9375
17773565-a0d3-4f22-a269-f01a429def37,"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",5,0.0,5.0,1.0
1af6b6ed-8622-417c-91db-e92e9ef4ec10,"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",8,10.0,8.0,1.0
1b847a2d-378a-4f2f-9e3b-bd259997f6ab,"Find me high power, non slip binoculars & scopes for bird watching with style: 10x50 hd binoculars, and price lower than 170.00 dollars.",4,10.0,4.0,1.0
1bf21a3a-4e3c-4aa8-9b58-cdb2629c3154,"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",9,0.0,8.0,0.8888888888888888
1f414d53-4790-4fa8-8511-3dcc18d8e534,"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",5,0.0,5.0,0.8
1fe4a4b9-afab-4d08-a556-e845b8e30351,"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",6,10.0,6.0,1.0
21a9957e-8dbe-4251-b619-bfeb10cf48eb,"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",16,0.0,15.0,0.875
21ef7a6b-ebb8-41db-ac81-7b93d922b0cd,"Find me high power, non slip binoculars & scopes for bird watching with style: 10x50 hd binoculars, and price lower than 170.00 dollars.",5,10.0,4.0,1.0
24a8aa2d-296f-4662-b44f-db4234d5996c,"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",6,10.0,6.0,1.0
284d34c2-3e93-47a0-ab49-8710176582fa,"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",7,10.0,6.0,1.0
29b4dd2e-de36-4fc4-bb84-e4b895537ee1,"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",5,10.0,5.0,1.0
2bc823cc-b8b4-41f8-a5c4-c7cd225b4e20,"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",6,10.0,6.0,0.8333333333333334
2d8190fe-719e-4c07-8c1d-6c58f5a93b36,"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",6,10.0,6.0,1.0
303782f7-7220-4eca-aaa3-c4d518d04387,"Find me non slip, easy clean, easy use lip care for oral hygiene with size: 0.7mm, and price lower than 40.00 dollars.",5,10.0,4.0,1.0
30d46267-841a-4203-ac26-8d529c848596,"Find me non slip, easy clean, easy use lip care for oral hygiene with size: 0.7mm, and price lower than 40.00 dollars.",5,10.0,4.0,1.0
33f2bfb9-0eda-4e2c-922b-954e84b8634a,"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: monaco blue, and size: medium, and price lower than 70.00 dollars.",6,10.0,5.0,1.0
351011a6-795d-4176-81af-7086d1c3a36e,"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",4,0.0,4.0,0.75
39ef07bc-72e4-48d4-a674-2e9a754ead84,"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",5,10.0,5.0,1.0
3c048c9f-605a-4b22-8a7c-0865bf65072a,"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",5,0.0,5.0,1.0
3d1c7474-56e7-44e4-a298-3f5615c69fff,"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",6,10.0,5.0,1.0
41dcfe9f-8e2c-41a3-a22d-86839a491058,"Find me machine wash men's dress shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: black, and fit type: youth, and size: medium, and price lower than 30.00 dollars.",7,10.0,6.0,0.8571428571428571
43f63a94-bd44-4f23-b39e-eeaccd7b2152,"Find me machine wash men's pants with relaxed fit with color: grey, and size: 34w x 32l, and price lower than 70.00 dollars.",5,10.0,5.0,1.0
447e404f-a975-4303-9037-9faa3b1b2050,"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",5,0.0,5.0,1.0
44beb915-b7bd-4a6b-82e5-6f53898637be,"Find me home office furniture sets for dining room, living room with color: navy | red, and item shape: round, and size: 3 ft 7 in x 5 ft 2 in, and price lower than 70.00 dollars.",14,10.0,12.0,0.8571428571428571
45d09b92-ce63-491f-a7ae-eaf500124b77,"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",6,0.0,5.0,1.0
4c40eb2c-7c36-40c0-868a-5656bed9b9d7,"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",7,10.0,7.0,1.0
4c489243-bed9-4572-8a01-af3693ea4c2b,"Find me non slip desks for living room with color: christmasgoo1729, and size: 19.7x31.5in+19.7x63in, and price lower than 40.00 dollars.",6,0.0,5.0,1.0
4de2eee0-8033-4c70-83c8-7021fc8007ff,"Find me home office furniture sets for dining room, living room with color: taupe | orange, and item shape: runner, and size: 7 ft 9 in x 10 ft 8 in, and price lower than 70.00 dollars.",15,0.0,15.0,0.8666666666666667
4f26b171-2c08-4a47-8353-e475f73033e9,"Find me hand wash men's sleep & lounge with long sleeve, elastic waistband for daily wear with color: multi 9, and size: medium, and price lower than 80.00 dollars.",5,10.0,5.0,0.8
518aa1f0-c499-412d-ab74-3b060499a988,"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",5,10.0,5.0,1.0
55956728-ae2b-435c-8c89-b10cbde7f54d,"Find me machine wash men's dress shirts with cotton spandex, classic fit, short sleeve with color: black, and size: 2x, and price lower than 50.00 dollars.",5,10.0,5.0,1.0
572e0820-def9-4369-8c32-6e07ba7ec717,"Find me machine wash men's pants with relaxed fit with color: navy, and size: 40w x 34l, and price lower than 70.00 dollars.",5,10.0,5.0,1.0
5756f039-aba0-4c39-90e8-cac8bd350b45,"Find me non slip desks for living room with color: christmasgoo3302, and size: 19.7x31.5in+19.7x63in, and price lower than 50.00 dollars.",5,0.0,5.0,1.0
