window,metric,v3_mean,gigpo_mean,gigpo_std_across_seeds,delta_v3_minus_gigpo,ratio_v3_over_gigpo
1-50,episode/success_rate,0.15604,0.15547333333333332,0.02570564313315053,0.0005666666666666875,1.0036447836713693
1-50,episode/webshop_task_score (not success_rate),0.47644,0.45599999999999996,0.023852144557670235,0.020440000000000014,1.0448245614035088
1-50,episode/valid_action_ratio,0.9360599999999998,0.9083399999999999,0.02245709390519317,0.027719999999999856,1.0305172072131579
1-50,response_length/mean,116.36988000000001,128.62459333333334,6.997850065352615,-12.254713333333328,0.9047249595450616
1-50,response_length/clip_ratio,0.00442,0.0057,0.0018055470085267793,-0.0012799999999999999,0.7754385964912281
1-50,actor/pg_clipfrac,0.00936,0.00938,0.0005309111664550542,-1.9999999999999185e-05,0.9978678038379531
1-50,actor/ppo_kl,0.00144,0.0012666666666666666,5.734883511361757e-05,0.0001733333333333335,1.136842105263158
1-50,actor/grad_norm,8.26144,7.789953333333333,0.1583665093663705,0.4714866666666673,1.0605249667734424
51-100,episode/success_rate,0.47706000000000004,0.4407666666666667,0.07077829108482973,0.036293333333333344,1.082341374877108
51-100,episode/webshop_task_score (not success_rate),0.74068,0.7196333333333333,0.04506609171230863,0.021046666666666658,1.029246375468989
51-100,episode/valid_action_ratio,0.9493,0.9842733333333332,0.003368098705336391,-0.03497333333333319,0.9644678646175522
51-100,response_length/mean,88.9655,129.2239933333333,7.177772363964243,-40.258493333333305,0.6884596095905617
51-100,response_length/clip_ratio,0.00262,0.006346666666666667,0.000778088826691543,-0.003726666666666667,0.41281512605042014
51-100,actor/pg_clipfrac,0.01008,0.008666666666666668,0.0002345681611434561,0.0014133333333333324,1.163076923076923
51-100,actor/ppo_kl,0.0023400000000000005,0.0013400000000000003,0.0001925270543759154,0.0010000000000000002,1.7462686567164178
51-100,actor/grad_norm,13.83406,8.186473333333334,0.4346046345306913,5.647586666666665,1.6898680832039192
101-150,episode/success_rate,0.6469999999999999,0.6232533333333334,0.03520712554141402,0.02374666666666647,1.0381011466712302
101-150,episode/webshop_task_score (not success_rate),0.78948,0.8115,0.02962731622450243,-0.02202000000000004,0.9728650646950092
101-150,episode/valid_action_ratio,0.9654199999999998,0.99446,0.0019112997322938553,-0.029040000000000177,0.9707982221507148
101-150,response_length/mean,94.29513999999999,129.89434,10.390208500711932,-35.59920000000001,0.7259372502296866
101-150,response_length/clip_ratio,0.0104,0.0036066666666666673,0.001684939827478187,0.006793333333333332,2.8835489833641397
101-150,actor/pg_clipfrac,0.00976,0.006526666666666667,0.0006955733047078658,0.003233333333333333,1.4954034729315628
101-150,actor/ppo_kl,0.0021200000000000004,0.001386666666666667,4.9888765156985936e-05,0.0007333333333333334,1.5288461538461537
101-150,actor/grad_norm,10.328359999999998,5.153526666666667,0.4664664653422461,5.174833333333331,2.0041343856440053
151-200,episode/success_rate,0.70604,0.6988266666666666,0.025941772405823738,0.007213333333333405,1.010322063649546
151-200,episode/webshop_task_score (not success_rate),0.8383400000000001,0.8553199999999999,0.01579478394913965,-0.016979999999999773,0.9801477809474819
151-200,episode/valid_action_ratio,0.9755999999999999,0.9971199999999999,9.93310961715663e-05,-0.021519999999999984,0.9784178433889602
151-200,response_length/mean,137.56251999999998,127.03649333333334,3.9428188523891894,10.526026666666638,1.0828582904838786
151-200,response_length/clip_ratio,0.07894,0.00188,9.79795897113272e-05,0.07705999999999999,41.98936170212766
151-200,actor/pg_clipfrac,0.006220000000000001,0.0048333333333333344,0.00025837096500101465,0.0013866666666666663,1.2868965517241377
151-200,actor/ppo_kl,0.0013,0.00106,0.00012754084313139325,0.00023999999999999998,1.2264150943396226
151-200,actor/grad_norm,8.895980000000002,3.637306666666667,0.10464588201273003,5.258673333333334,2.445760232846282
201-250,episode/success_rate,0.7171799999999999,0.7362799999999999,0.01629645360193437,-0.019100000000000006,0.9740587819851143
201-250,episode/webshop_task_score (not success_rate),0.82208,0.8711333333333333,0.006005205149608878,-0.04905333333333328,0.9436902119843882
201-250,episode/valid_action_ratio,0.9473999999999999,0.9969933333333333,0.00047506724670179606,-0.04959333333333338,0.9502571063664752
201-250,response_length/mean,293.16704,127.80316,4.393395204652843,165.36388,2.293895080528525
201-250,response_length/clip_ratio,0.42606,0.0015199999999999999,0.00033025242870668886,0.42454,280.3026315789474
201-250,actor/pg_clipfrac,0.004760000000000001,0.0038133333333333335,0.0005221323799787005,0.0009466666666666677,1.2482517482517486
201-250,actor/ppo_kl,0.0008400000000000001,0.0008,0.00011430952132988164,4.0000000000000105e-05,1.05
201-250,actor/grad_norm,6.094420000000001,3.1471866666666664,0.16958864846707453,2.947233333333335,1.9364660077360103
